what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344950042611
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344950045280
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344950046946
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1344950048298
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344950051069
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1344950055051
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1344950055215
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1344950055665
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1344950055885
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1344950056569
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1344950100863
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.101.v201102111830,"org.eclipse.wst.xsl.debug.ui",1344950116645
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344950117611
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344950118619
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344950120490
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1344950121266
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344950123983
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344950125195
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344950128744
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344950129893
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344950132772
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344950133936
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344950134818
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344950138646
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344950139921
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344950143657
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344950147018
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344950147045
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344950147930
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344950147955
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344950148842
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1344950148862
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344950164477
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344950165637
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344950166787
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344950167905
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344950179300
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344950182578
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344950184249
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1344950187743
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344950199869
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344950206361
