what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1344952772741
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1344952774484
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1344952775264
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1344952780069
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1344952780573
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344952786970
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344952788584
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344952792400
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344952793471
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344952796947
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344952798221
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344952801957
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344952803331
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344952804983
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344952806828
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1344952806842
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344952825756
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1344952830177
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344952834450
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1344952858720
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344952943025
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344952977465
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1344952983295
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344953007790
