what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1344244752051
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344244752191
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344244754651
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344244755681
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344244756214
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344244757379
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344244757404
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344244759107
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344244759130
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344244761780
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344244761803
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344244767211
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344244767232
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344244768482
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344244768503
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344244769532
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344244769555
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344244772525
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344244772547
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344244773155
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344244773180
