what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1344157830855
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1344157830855
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1344157830855
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1344157830855
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.201.v201011231540,"org.eclipse.jst.ws.jaxrs.core",1344157830855
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1344157830855
started,bundle,org.eclipse.php.core,2.2.1.v20101001-2300,"org.eclipse.php.core",1344157830855
started,bundle,org.eclipse.php.debug.core,2.2.0.v20101001-2300,"org.eclipse.php.debug.core",1344157830855
started,bundle,org.eclipse.php.debug.daemon,2.2.0.v20101001-2300,"org.eclipse.php.debug.daemon",1344157830855
started,bundle,org.eclipse.php.debug.ui,2.2.0.v20101001-2300,"org.eclipse.php.debug.ui",1344157830855
started,bundle,org.eclipse.php.server.core,2.2.0.v20101001-2300,"org.eclipse.php.server.core",1344157830855
started,bundle,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui",1344157830855
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1344157830855
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1344157830855
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1344157830855
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1344157830855
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1344157830855
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1344157830855
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1344157830855
started,bundle,net.sf.eclipsecs.core,5.4.1.201109192037,"net.sf.eclipsecs.core",1344157830855
started,bundle,net.sf.eclipsecs.ui,5.4.1.201109192037,"net.sf.eclipsecs.ui",1344157830855
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1344157830855
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1344157830855
started,bundle,org.eclipse.equinox.weaving.aspectj,1.0.1.v20110502,"org.eclipse.equinox.weaving.aspectj",1344157830855
started,bundle,org.scala-ide.sdt.aspects,2.1.0.m1-2_09-201204131819-c58d6d8,"org.scala-ide.sdt.aspects",1344157830855
started,bundle,org.scala-ide.sdt.core,2.1.0.m1-2_09-201204131819-c58d6d8,"org.scala-ide.sdt.core",1344157830855
started,bundle,org.scala-ide.sdt.debug,2.1.0.m1-2_09-201204131819-c58d6d8,"org.scala-ide.sdt.debug",1344157830855
os,sysinfo,,,"win32",1344157830855
arch,sysinfo,,,"x86",1344157830855
ws,sysinfo,,,"win32",1344157830855
locale,sysinfo,,,"de_DE",1344157830855
processors,sysinfo,,,"4",1344157830855
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1344157830855
java.runtime.version,sysinfo,,,"1.7.0_05-b05",1344157830855
java.specification.name,sysinfo,,,"Java Platform API Specification",1344157830855
java.specification.vendor,sysinfo,,,"Oracle Corporation",1344157830855
java.specification.version,sysinfo,,,"1.7",1344157830855
java.vendor,sysinfo,,,"Oracle Corporation",1344157830855
java.version,sysinfo,,,"1.7.0_05",1344157830855
java.vm.info,sysinfo,,,"mixed mode, sharing",1344157830855
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1344157830855
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1344157830855
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1344157830855
java.vm.specification.version,sysinfo,,,"1.7",1344157830855
java.vm.vendor,sysinfo,,,"Oracle Corporation",1344157830855
java.vm.version,sysinfo,,,"23.1-b03",1344157830855
started,bundle,org.eclipse.dltk.core.index.sql,2.0.1.v20100909-1720,"org.eclipse.dltk.core.index.sql",1344157830870
started,bundle,org.eclipse.dltk.core.index.sql.h2,2.0.1.v20100909-1720,"org.eclipse.dltk.core.index.sql.h2",1344157833805
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1344157833821
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344157833852
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1344157847299
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344157851698
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1344157911649
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344157911915
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344157911977
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1344157917780
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344157917967
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344157918061
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1344157919044
started,bundle,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui",1344157919059
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1344157920323
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1344157922445
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344157922632
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1344157934971
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344157935205
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344157935283
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1344157943099
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344157943317
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344157943395
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344157947670
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344157947670
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344157949386
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344157950010
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344157950665
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344157952225
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344157953208
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344157956484
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344157958866
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344157961890
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344157961915
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344157965574
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344157965600
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344157971664
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344157971687
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344157974366
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344157974393
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344157975127
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344157975150
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344157976102
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344157976129
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344157977017
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344157977039
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344157977686
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344157977713
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344157978255
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344157978281
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344157978799
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344157978823
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344157979391
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344157979414
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344157979935
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344157979957
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344157980486
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344157980509
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344157981070
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344157981098
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344157982294
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344157982317
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344157982934
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344157982957
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344157983662
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344157983685
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344157984605
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344157984627
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344157986384
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344157986400
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344157987618
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1344157995355
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344157999550
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344158021436
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344158037395
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344158056693
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344158088173
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344158090888
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344158161332
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1344158168804
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1344158177525
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1344158179818
started,bundle,org.eclipse.wst.jsdt.core,1.1.4.v201102102045,"org.eclipse.wst.jsdt.core",1344158180021
started,bundle,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui",1344158180099
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1344158180926
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1344158181784
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1344158181799
started,bundle,org.eclipse.jem.util,2.1.3.v201012070000,"org.eclipse.jem.util",1344158181799
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.3.v201012020600,"org.eclipse.wst.common.emfworkbench.integration",1344158181799
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1344158181830
started,bundle,org.eclipse.wst.common.modulecore,1.2.5.v201101270100,"org.eclipse.wst.common.modulecore",1344158181830
started,bundle,org.eclipse.jst.j2ee.core,1.2.4.v201102101900,"org.eclipse.jst.j2ee.core",1344158181830
started,bundle,org.eclipse.jem,2.0.400.v201005110200,"org.eclipse.jem",1344158181846
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1344158181862
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1344158181862
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1344158181877
started,bundle,org.eclipse.jst.j2ee,1.1.404.v201102081800,"org.eclipse.jst.j2ee",1344158181893
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1344158181893
started,bundle,org.eclipse.jst.jee,1.0.302.v201101122300,"org.eclipse.jst.jee",1344158181908
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1344158185216
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1344158186120
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344158188024
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344158188117
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1344158190956
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1344158197462
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.17,"org.tigris.subversion.clientadapter.javahl",1344158199864
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.15,"org.tigris.subversion.clientadapter.svnkit",1344158199880
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1344158200582
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1344158201221
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1344158209598
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344158209754
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344158217414
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344158217976
