what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344418646812
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344418650495
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1344418652293
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344418658873
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344418661850
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344418662946
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344418669806
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.showInformation",1344418669815
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344418674966
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1344418679775
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1344418680772
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1344418682015
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.1.v201008232129,"org.eclipse.jst.ws.jaxws.ui",1344418682053
started,bundle,org.eclipse.pde.api.tools,1.0.202.v20100820_r361,"org.eclipse.pde.api.tools",1344418682103
started,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1344418682103
error,log,,,"Exception occurred during problem detection:\r\n----------------------------------- SOURCE BEGIN -------------------------------------\r\n/**\r\n * \r\n */\r\npackage de.htwg_konstanz.in;\r\n\r\nimport java.io.IOException;\r\nimport java.io.InputStream;\r\nimport java.io.OutputStream;\r\nimport java.net.Socket;\r\nimport java.net.SocketException;\r\nimport java.net.UnknownHostException;\r\nimport java.util.LinkedList;\r\nimport java.util.Queue;\r\n\r\n/**\r\n * @author Ellen Wieland\r\n * \r\n */\r\npublic class Client {\r\n\r\n\tSwitchableSocket switchableSocket;\r\n\tOutputStream out;\r\n\tInputStream in;\r\n\tboolean isSwitching = false;\r\n\tQueue<String> messageQueue = new LinkedList<String>();\r\n\r\n\tpublic Client() {\r\n\t\ttry {\r\n\t\t\tswitchableSocket = new SwitchableSocket(new Socket(""localhost"",\r\n\t\t\t\t\t8205));\r\n\t\t\tout = switchableSocket.getOutputStream();\r\n\t\t\tin = switchableSocket.getInputStream();\r\n\t\t} catch (UnknownHostException e) {\r\n\t\t\te.printStackTrace();\r\n\t\t} catch (IOException e) {\r\n\t\t\te.printStackTrace();\r\n\t\t}\r\n\t}\r\n\r\n\tpublic void sendMessage(String message) throws SocketException, IOException {\r\n\t\tif (isSwitching) {\r\n\t\t\tmessageQueue.add(message);\r\n\t\t\treturn;\r\n\t\t} else if (messageQueue.size() > 0) {\r\n\t\t\tmessageQueue.add(message);\r\n\t\t\tSystem.out.println(""------ Anzahl: "" + messageQueue.size()\r\n\t\t\t\t\t+ "" Stored Messages available------"");\r\n\t\t\tfor (int i = 1; i < messageQueue.size(); i++) {\r\n\t\t\t\tif (isSwitching) return;\r\n\t\t\t\tString m = messageQueue.poll();\r\n\t\t\t\tSystem.out.println(""Gespeicherte Nachricht:"" + m);\r\n\t\t\t\tout.write(m.getBytes(), 0, m.getBytes().length);\r\n\t\t\t\tout.flush();\r\n\t\t\t\tSystem.out.println(""Sent Stored Message: "" + m);\r\n\t\t\t\tsameFromServer(message);\r\n\t\t\t}\r\n\t\t\tmessageQueue.\r\n\t\t} else {\r\n\t\t\ttry {\r\n\t\t\t\tout.write(message.getBytes(), 0, message.getBytes().length);\r\n\t\t\t\tout.flush();\r\n\r\n\t\t\t\tSystem.out.println(""Sent: "" + message);\r\n\t\t\t\tsameFromServer(message);\r\n\t\t\t} catch (IOException e) {\r\n\t\t\t\te.printStackTrace();\r\n\t\t\t}\r\n\t\t\t//byte[] buffer = sameFromServer(message);\r\n\t\t\t// Receive the same string back from the server\r\n\r\n\t\t}\r\n\t}\r\n\r\n\tprivate byte[] sameFromServer(String message) throws IOException {\r\n\t\tbyte[] buffer = new byte[message.getBytes().length];\r\n\r\n\t\tint totalBytesRcvd = 0; // Total bytes received so far\r\n\t\tint bytesRcvd; // Bytes received in last read\r\n\t\twhile (totalBytesRcvd < message.getBytes().length) {\r\n\t\t\tif ((bytesRcvd = in.read(buffer, totalBytesRcvd,\r\n\t\t\t\t\tmessage.getBytes().length - totalBytesRcvd)) == -1)\r\n\t\t\t\tthrow new SocketException(""Connection closed prematurely"");\r\n\t\t\ttotalBytesRcvd += bytesRcvd;\r\n\t\t} // data array is full\r\n\r\n\t\tSystem.out.println(""Received: "" + new String(buffer));\r\n\t\treturn buffer;\r\n\r\n\t}\r\n\r\n\tpublic SwitchableSocket getSocket() {\r\n\t\treturn switchableSocket;\r\n\t}\r\n\r\n}\r\n\r\n----------------------------------- SOURCE END -------------------------------------",1344418682333
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.ui"".",1344418682333
error,log,,,"Error in JDT Core during reconcile",1344418682333
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344418684676
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344418684816
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1344418686031
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1344418698965
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1344418699411
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1344418702829
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344418705866
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1344418709069
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344418709167
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344418712568
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344418716344
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344418724212
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344418725795
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344418727014
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344418727918
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344418727942
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344418728606
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344418728636
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344418729319
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344418729340
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344418729935
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344418729956
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344418736481
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344418736501
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344418737021
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344418737041
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344418737533
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344418737555
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344418738029
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344418738053
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344418738591
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344418738611
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344418740301
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344418740322
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344418741693
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344418741714
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344418742566
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344418742587
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344418743444
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344418743465
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344418745197
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344418745218
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344418745853
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344418745877
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344418748239
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344418748259
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344418748788
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1344418748804
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344418780325
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344418785306
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344418797175
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344418797762
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344419599913
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1344419604645
