what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1344169015801
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1344169037662
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1344169048461
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344169048624
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344169060472
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1344169086184
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1344169086685
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.redo",1344169087445
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.redo",1344169087715
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344169090511
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344169095096
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1344169095906
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1344169096552
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1344169128840
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344169129010
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344169144318
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344169149437
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344169552554
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344169578072
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344170089075
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1344170094037
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344170094217
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344170094287
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344170109991
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344170507934
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344170575251
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344170575311
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344170578121
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344170580090
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344170580714
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344170642778
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344170643198
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344170652668
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344170658278
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344170687694
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344171886739
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344171940791
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344171943391
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344171950441
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344171951317
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344171951322
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344172344486
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344172349766
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344172433710
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1344172450986
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344172451216
