what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1344425079697
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1344425083324
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344425084638
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344425085937
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344425087149
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344425088357
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344425088405
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344425096300
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344425096324
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344425096716
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344425096742
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344425097188
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344425097214
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344425097646
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344425097676
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344425098116
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344425098136
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344425102828
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344425102854
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344425109808
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344425109829
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344425110965
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344425110989
