what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1340790654669
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1340790654862
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340790659161
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340790683930
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1340790683949
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1340790684160
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1340790684224
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340790695923
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340790709522
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1340790709671
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340790711063
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340790789282
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1340790789686
executed,command,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors.lineNumberToggle",1340790795203
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1340790808676
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1340790814677
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1340790816354
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1340790817533
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340790855312
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340790868770
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1340790868959
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1340790870597
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340790871567
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340790971213
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340790993992
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340791062923
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1340791099038
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1340791099222
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1340791099287
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1340791144947
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1340791149584
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1340791150945
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1340791162015
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1340791185880
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1340791186616
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1340791195779
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1340791200557
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1340791200732
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1340791200794
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1340791203300
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340791205351
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340791209340
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1340791209356
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1340791214877
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340791217084
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340791222436
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340791222466
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340791226434
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1340791228706
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340791229671
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340791230940
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340791230956
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340791239317
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340791241197
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340791251542
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340791259496
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340791259896
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340791261128
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340791266483
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340791266505
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340791274122
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340791274145
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340791283179
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340791283201
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340791297957
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1340791302665
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1340791304838
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1340791307239
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340791308463
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340791310031
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1340791315330
