what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344248150977
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344248153707
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344248154367
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344248155417
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344248157647
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344248157668
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344248158528
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344248158548
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344248165409
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344248165439
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344248166210
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344248166233
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344248166851
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344248166875
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344248167628
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344248167653
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344248173084
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344248173107
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344248177491
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344248177515
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344248179419
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344248179443
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344248180803
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344248180826
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344248181635
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344248181658
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344248183355
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344248183376
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344248184172
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344248184193
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344248184932
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344248184953
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344248186332
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1344248188828
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344248211872
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1344248212946
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344248219045
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1344248250701
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1344248280180
