what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340631351593
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.toggleOverwrite",1340631356430
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.toggleOverwrite",1340631357686
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1340631358745
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1340631362871
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1340631363095
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1340631363271
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1340631363495
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1340631368326
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340631371623
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340631372450
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1340631375915
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1340631385728
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340631391775
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340631418171
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1340631420854
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340631421320
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340631629311
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340631634111
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340631659834
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.toggleOverwrite",1340631665239
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.toggleOverwrite",1340631665735
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340631690408
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1340632275776
